stop_id;stop_name;stop_lat;stop_lon;wheelchair_accessible
71;Grotta Bindesi;46.043679;11.151494;2.0
72;"Ss 12 ""Zona Ind.Le Ftm""";46.119198;11.106145;2.0
73;"Lamar ""Ftm""";46.125847;11.107861;2.0
74;"Lamar ""Ftm""";46.125967;11.107596;2.0
75;"Lamar ""Sottostazione Enel""";46.129144;11.109752;2.0
76;Largo Sauro;46.074753;11.125004;0.0
77;Lavis Nazionale;46.13858;11.109069;2.0
78;Lavis Piazza Caduti;46.138061;11.115898;2.0
79;"Lavis ""Municipio""";46.139289;11.112161;2.0
80;Lavis Rosmini Segantini;46.142225;11.108496;1.0
85;Centochiavi Dalla Fior;46.094565;11.120643;2.0
86;Centochiavi Chiocchetti;46.093919;11.120723;2.0
87;"Melta ""Case Itea""";46.102356;11.118127;1.0
88;Parco di Melta;46.097301;11.119758;0.0
89;Melta Centro;46.099084;11.119185;2.0
90;Melta Centro;46.100097;11.118761;1.0
91;Parco di Melta;46.097222;11.119861;0.0
92;"Bettini ""Madonna Bianca""";46.04238;11.132874;2.0
93;"Stella ""S.Gaetano""";46.036419;11.13043;2.0
94;"Ss 12 ""Casteller""";46.025382;11.132726;2.0
95;"Ss 12 ""Casteller""";46.025655;11.132788;2.0
96;"Madonna Bianca ""S.Gaetano""";46.037978;11.13066;1.0
97;Stella Marighetto;46.03424;11.131449;1.0
98;"Madonna Bianca ""Man""";46.040233;11.13044;2.0
99;"Ss 12 ""Le Caverne""";46.031037;11.132709;2.0
100;"Ss 12 ""Le Caverne""";46.030059;11.132908;1.0
101;Martignano Formigheta;46.089145;11.133132;1.0
102;Martignano Formigheta;46.088977;11.133177;1.0
103;"Martignano ""Chiesa""";46.088719;11.130593;2.0
104;"Sp 131 ""Maso Pradiscola""";46.083248;11.135662;2.0
105;"Sp 131 ""Maso Pradiscola""";46.083257;11.135788;1.0
106;Martignano P.Zza Menghin;46.090133;11.131586;2.0
107;Martignano P.Zza Menghin;46.090206;11.131471;2.0
108;Martignano Piazza Canopi;46.089258;11.130976;1.0
109;"Sp 131 ""Res. Silvana""";46.09764;11.126986;2.0
110;"Sp 131 ""Res. Silvana""";46.097687;11.12683;2.0
111;Martignano Ai Bolleri;46.094528;11.130103;2.0
112;Martignano Ai Bolleri;46.094843;11.129425;2.0
113;"Sopramonte ""Maso Banal""";46.069001;11.063551;2.0
115;Sp 131 Al Maso Specchio;46.10449;11.123519;2.0
116;Sp 131 Al Maso Specchio;46.104411;11.123396;2.0
117;"Ravina ""Maso Stella""";46.032327;11.112713;2.0
118;"Ravina ""Maso Stella""";46.032559;11.112917;2.0
119;Mattarello Piazza Perini;46.00691;11.128386;2.0
120;Mattarello Via Nazionale;46.012398;11.1306;1.0
121;Mattarello Via Nazionale;46.011656;11.130383;2.0
122;Mattarello Pomeranos;46.013587;11.131547;1.0
123;"Mattarello ""Ronchi""";46.017229;11.132453;2.0
124;"Mattarello ""Ronchi""";46.017316;11.132591;2.0
125;Mattarello S.Leonardo;46.006539;11.127593;2.0
127;Mattarello Catoni;46.009422;11.128968;1.0
