id;type;capacity;latitude;longitude;city_id
304;traditional;5;46.0593391;11.1243167;1
318;traditional;4;46.0479398;11.1243371;1
326;frame lock;20;46.0345420;11.1277057;1
25;traditional;60;46.0669415;11.1230519;1
334;frame lock;6;46.0673524;11.1220926;1
327;traditional;7;46.0398841;11.1340017;1
335;frame lock;6;46.0673710;11.1220872;1
333;frame lock;6;46.0673887;11.1220830;1
332;traditional;12;46.0667592;11.1189375;1
336;traditional;4;46.0694036;11.1263227;1
320;traditional;8;46.0448002;11.1212091;1
321;traditional;12;46.0406630;11.1233918;1
322;traditional;5;46.0406444;11.1233167;1
323;traditional;7;46.0406719;11.1233185;1
305;traditional;21;46.0593644;11.1244300;1
280;traditional;10;46.0647446;11.1246324;1
301;traditional;21;46.0588912;11.1244360;1
302;traditional;7;46.0588830;11.1244071;1
309;frame lock;16;46.0557976;11.1296822;1
310;traditional;5;46.0558167;11.1297759;1
311;frame lock;16;46.0557518;11.1294348;1
312;traditional;8;46.0519186;11.1267404;1
461;frame lock;16;46.0802454;11.1181613;1
475;frame lock;10;46.0434344;11.1205093;1
476;frame lock;10;46.0773722;11.1182073;1
477;frame lock;10;46.0723833;11.1170621;1
480;frame lock;8;46.0728449;11.1266570;1
478;frame lock;10;46.0735201;11.1172167;1
482;frame lock;24;46.0698066;11.1276850;1
483;frame lock;10;46.0592535;11.1212375;1
481;frame lock;8;46.0620294;11.1238448;1
479;frame lock;16;46.0731707;11.1187085;1
484;frame lock;30;46.0734673;11.1172788;1
485;frame lock;6;46.0398994;11.1315139;1
486;frame lock;6;46.0403009;11.1318117;1
487;frame lock;8;46.0761150;11.1231575;1
