id;access;fee;capacity;type;latitude;longitude;city_id
node/1784871131;customers;no;-1;surface;46.0797736;11.1228367;1
node/1848898567;public;yes;500;underground;46.0738655;11.1221606;1
node/2096805946;customers;no;-1;street_side;46.0923297;11.1176651;1
node/2238537144;customers;no;-1;surface;46.0502101;11.1354666;1
node/2390854076;public;no;15;surface;46.0882902;11.0658933;1
node/2390855639;public;no;-1;surface;46.0865566;11.0637554;1
node/2581639835;public;no;-1;surface;46.0173292;11.0471391;1
node/2581639836;public;no;-1;surface;46.0173532;11.0466998;1
node/2990436209;public;no;-1;surface;46.0883052;11.0696508;1
node/3128124435;customers;no;-1;rooftop;46.0885973;11.1187804;1
node/3128124436;customers;no;-1;rooftop;46.088471;11.1181221;1
node/4444733710;customers;no;-1;surface;46.0553852;11.1319721;1
node/7004175186;public;yes;5;street_side;46.0704743;11.1215574;1
node/7105562301;public;no;9;surface;46.0065732;11.1283472;1
node/7105717815;customers;no;-1;surface;46.0062707;11.1269048;1
node/7119399623;public;no;-1;surface;46.09335;11.1307;1
node/7853807595;public;yes;-1;surface;46.0637816;11.1223979;1
node/9156063650;customers;no;-1;underground;46.0811368;11.1218845;1
node/9216236798;customers;no;-1;surface;46.0837801;11.0982674;1
node/9545176453;customers;no;-1;surface;46.0177992;11.1070722;1
node/9702790768;public;no;-1;surface;46.0135562;11.1040033;1
node/9767020810;no;no;-1;street_side;46.1086452;11.1114525;1
node/9850671531;customers;no;-1;surface;46.0840903;11.1150091;1
node/9853467100;permit;no;-1;surface;46.0652493;11.130242;1
node/9858351301;permit;no;-1;surface;46.0594583;11.1217853;1
node/10578704145;customers;no;-1;surface;46.1068046;11.1143868;1
node/10678067306;customers;no;-1;surface;46.1025315;11.1031021;1
node/10696423576;customers;no;-1;surface;46.0627601;11.1214659;1
node/10717512662;customers;no;-1;surface;46.1089622;11.111185;1
node/10799596372;customers;no;-1;surface;46.1139363;11.1061464;1
node/10819332984;customers;no;-1;underground;46.082902;11.1207283;1
node/11031854428;customers;no;-1;surface;46.0692033;11.1286367;1
node/11071715440;customers;no;-1;surface;46.1175424;11.0930371;1
node/11125253132;customers;no;-1;surface;46.0649008;11.1504619;1
node/11267204610;customers;no;-1;rooftop;46.0875686;11.1186415;1
node/11726705877;permit;no;100;underground;46.0676574;11.1493496;1
