WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (664939.795343593 5102436.93733627,664945.43054904 5102432.73654676)";"227";OLTREFERSINA;Verona 45;"6";;"2022";"1";"6";227.jpg;"1370";"82";;;Rastr_bloccatelaio;
"LINESTRING (663819.387398218 5104445.33405082,663820.171804641 5104447.7608082)";"181";CENTRO STORICO-PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";181.jpg;"480";"55";;;Rastr_tradizionale;
"LINESTRING (666632.165810132 5103638.66196739,666632.596781893 5103639.17374635)";"424";POVO;Metallo 4 posti;"4";;"2023";"1";"4";424.JPG;"7380";"9";;;Rastr_tradizionale;
"LINESTRING (666590.804050473 5103509.4949172,666593.743922386 5103509.56918931)";"425";POVO;Spirale;"6";;"2023";"1";"6";425.JPG;"7460";"1";;;Rastr_tradizionale;
"LINESTRING (666590.202412515 5103509.51092638,666587.072911865 5103509.71479455)";"426";POVO;Spirale;"6";;"2023";"1";"6";426.JPG;"7460";"1";;;Rastr_tradizionale;
"LINESTRING (663787.741501553 5104384.88573078,663788.991649291 5104384.44450217)";"183";CENTRO STORICO_PIEDICASTELLO;3 posti doppia;"6";;"2022";"1";"6";183.jpg;"480";"40";;;Rastr_tradizionale;
"LINESTRING (663455.319124977 5104091.10409087,663456.275120287 5104090.80993846)";"205";CENTRO STORICO_PIEDICASTELLO;Verona 90;"6";;"2022";"1";"6";205.jpg;"2940";"4";;;Rastr_bloccatelaio;
"LINESTRING (663774.357566945 5104347.30776054,663773.609929572 5104345.46930798)";"184";CENTRO STORICO_PIEDICASTELLO;Androna;"4";;"2022";"2";"8";184.jpg;"480";"46";;;Rastr_tradizionale;
"LINESTRING (663357.632184319 5107855.89558695,663358.533026053 5107855.17859047)";"219";GARDOLO;A pavimento 5 posti;"5";;"2022";"1";"5";219.jpg;"5290";"23";"5";CENTRO SPORTIVO TN NORD;Rastr_tradizionale;
"LINESTRING (663356.308498505 5107856.86996678,663357.209340239 5107856.1529703)";"218";GARDOLO;A pavimento 5 posti;"5";;"2022";"1";"5";218.jpg;"5290";"23";"5";CENTRO SPORTIVO TN NORD;Rastr_tradizionale;
"LINESTRING (664191.94226546 5104333.54033095,664195.067450913 5104332.34978411)";"108";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"3";"6";108.jpg;"2650";"17";;;Rastr_bloccatelaio;
"LINESTRING (664100.476909217 5105362.76145085,664100.567342973 5105361.0819668)";"118";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"7";"14";118.jpg;"3150";"78";;;Rastr_bloccatelaio;
"LINESTRING (663759.141154473 5106553.68359156,663759.709595228 5106552.02994572)";"121";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"4";"8";121.jpg;"1415";"17";;;Rastr_bloccatelaio;
"LINESTRING (666584.004532865 5103509.8531578,666586.482986266 5103509.64192048)";"427";POVO;Spirale;"6";;"2023";"1";"6";427.JPG;"7460";"1";;;Rastr_tradizionale;
"LINESTRING (663758.387542408 5104271.71059144,663757.358008977 5104267.78855932)";"186";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";186.jpg;"480";"50";;;Rastr_tradizionale;
"LINESTRING (663928.579223697 5104810.91646978,663929.473937274 5104810.57329197)";"190";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";190.jpg;"570";"30";;;Rastr_tradizionale;
"LINESTRING (663926.593694936 5104802.06738481,663926.838821944 5104802.75374043)";"189";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";189.jpg;"570";"30";;;Rastr_tradizionale;
"LINESTRING (663864.981021608 5104780.4839518,663865.275174016 5104781.56251063)";"193";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"1";"5";193.jpg;"570";"1";;;Rastr_tradizionale;
"LINESTRING (663433.898089035 5104065.62926712,663433.714243783 5104066.25434097)";"210";CENTRO STORICO_PIEDICASTELLO;Verona 90;"6";;"2022";"1";"6";210.jpg;"430";"3";;;Rastr_bloccatelaio;
"LINESTRING (667203.74210922 5104342.8563583,667201.910479232 5104342.53312948,667204.065338041 5104342.64087242)";"428";POVO;Corten;"10";;"2024";"1";"10";428.JPG;"7485";;;;Rastr_tradizionale;
"LINESTRING (663423.207487632 5104101.15429798,663424.163482943 5104100.86014557)";"204";CENTRO STORICO_PIEDICASTELLO;Verona 45;"6";;"2022";"1";"6";204.jpg;"2390";"28";;;Rastr_bloccatelaio;
"LINESTRING (666461.285506577 5103204.33670656,666462.901650684 5103205.95285067)";"429";POVO;Salè;"10";;"2023";"1";"10";429.JPG;"7350";;;PARCO;Rastr_tradizionale;
"LINESTRING (666457.891603953 5103167.32700652,666457.676118072 5103166.24957711)";"430";POVO;Androna;"5";;"2023";"1";"5";430.JPG;"7350";;;;Rastr_tradizionale;
"LINESTRING (663317.02327542 5100363.58633865,663318.477805116 5100364.01731041)";"434";RAVINA;Bronzetti 5 posti;"5";;"2023";"1";"5";434.JPG;"8760";"2";A;PALESTRA;Rastr_tradizionale;
"LINESTRING (663213.15943181 5108275.60482885,663214.110556268 5108275.07219916)";"236";GARDOLO;Androna;"5";;"2022";"1";"5";236.jpg;"5500";"15";;;Rastr_tradizionale;
"LINESTRING (663182.605533446 5108294.28542245,663183.231325884 5108294.68387624)";"239";GARDOLO;Androna;"5";;"2022";"1";"5";239.jpg;"5500";"10";;;Rastr_tradizionale;
"LINESTRING (663180.840222724 5108293.75228351,663181.582099801 5108293.75228351)";"237";GARDOLO;Androna;"5";;"2022";"1";"5";237.jpg;"5500";"10";;;Rastr_tradizionale;
"LINESTRING (664772.947838561 5102487.48902344,664777.234088566 5102488.86485677)";"231";OLTREFERSINA;Verona 90;"6";;"2022";"1";"6";231.jpg;"1160";"4";;;Rastr_bloccatelaio;
"LINESTRING (664822.442992413 5102960.77842449,664825.867040463 5102958.80008562)";"233";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"3";"12";233.jpg;"40";"2";;"INFANZIA ""S. ANTONIO""";Rastr_tradizionale;SCUOLA
"LINESTRING (664793.955755249 5102494.26235678,664796.495755251 5102495.10902344)";"230";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"1";"4";230.jpg;"1160";"4";;;Rastr_tradizionale;
"LINESTRING (664977.890833315 5103146.47791668,664979.319583317 5103145.10208334)";"232";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"1";"4";232.jpg;"3470";"15";;;Rastr_tradizionale;
"LINESTRING (663064.618020725 5107192.68041554,663065.200104059 5107194.74416554)";"245";GARDOLO;Canova;"6";;"2022";"1";"6";245.jpg;"5090";"61";;PARCO;Rastr_tradizionale;
"LINESTRING (663253.106659049 5108189.81340273,663254.89477303 5108185.62845512)";"235";GARDOLO;Metallo 4 posti;"4";;"2022";"2";"8";235.jpg;"5480";"3";;UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (663222.575563944 5108162.78244563,663222.879923771 5108161.67914126)";"234";GARDOLO;Metallo 3 posti;"3";;"2022";"1";"3";234.jpg;"5480";"3";;;Rastr_tradizionale;
"LINESTRING (666469.982099681 5103246.57513009,666472.523520064 5103246.32098805)";"489";POVO;Salè;"10";;"2024";"1";"10";489.JPG;"7350";;;;Rastr_tradizionale;
"LINESTRING (663392.349581663 5107898.03979719,663392.32312333 5107894.60021385)";"249";GARDOLO;Archetto;"2";;"2022";"10";"20";249.jpg;"5290";"23";"4";"CENTRO SPORTIVO ""TN NORD""";Rastr_bloccatelaio;
"LINESTRING (664766.780624785 5102392.72208303,664770.034999789 5102393.19833303)";"250";OLTRFERSINA;Archetto;"2";;"2022";"5";"10";250.jpg;"1160";"4";;"CENTRO SPORTIVO ""G. MANAZZON""";Rastr_bloccatelaio;
"LINESTRING (664763.307968531 5102390.73109344,664762.011510197 5102388.05880177)";"251";OLTREFERSINA;Archetto;"2";;"2022";"5";"10";251.jpg;"1160";"4";;"CENTRO SPORTIVO ""G. MANAZZON""";Rastr_bloccatelaio;
"LINESTRING (664297.456093038 5100748.59463336,664309.679843051 5100748.43588336)";"252";OLTREFERSINA;Archetto;"2";;"2022";"20";"40";252.jpg;"1120";"11";;"PALAZZETTO DELLO SPORT ""BLM GROUP ARENA""";Rastr_bloccatelaio;
"LINESTRING (663181.806588901 5108293.77181524,663182.43238134 5108294.17026903)";"238";GARDOLO;Androna;"5";;"2022";"1";"5";238.jpg;"5500";"10";;;Rastr_tradizionale;
"LINESTRING (664295.180676371 5103293.33067772,664295.445259704 5103291.26692772)";"257";S. GIUSEPPE_S. CHIARA;Rotonda 6 posti;"6";;"2022";"1";"6";257.jpg;"2950";"65";;"AUDITORIUM ""S. CHIARA""";Rastr_tradizionale;
"LINESTRING (663712.793919018 5104154.68695807,663714.068579457 5104153.95157705)";"187";CENTRO STORICO_PIEDICASTELLO;Androna;"4";;"2022";"1";"4";187.jpg;"480";"72";;;Rastr_tradizionale;
"LINESTRING (663715.441290699 5104155.96161851,663716.47082413 5104155.32428829)";"188";CENTRO STORICO_PIEDICASTELLO;Androna;"4";;"2022";"1";"4";188.jpg;"480";"72";;;Rastr_tradizionale;
"LINESTRING (664302.377343045 5103289.99692771,664302.906509712 5103287.40401105)";"258";S. GIUSEPPE_S. CHIARA;Rotonda 9 posti 45;"9";;"2022";"1";"9";258.jpg;"2950";"67";;"AUDITORIUM ""S. CHIARA""";Rastr_tradizionale;
"LINESTRING (663451.099110422 5103916.56064261,663451.83449143 5103920.60523815)";"213";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"4";"8";213.jpg;"2850";"4";;;Rastr_bloccatelaio;
"LINESTRING (663355.361695457 5107860.93294686,663356.942764624 5107863.06555178)";"217";GARDOLO;Bronzetti 6 posti;"6";;"2022";"1";"6";217.jpg;"5290";"23";"5";CENTRO SPORTIVO TN NORD;Rastr_tradizionale;
"LINESTRING (664305.578801382 5103274.38651103,664305.896301382 5103272.74609436)";"260";S. GIUSEPPE_S. CHIARA;Rotonda 6 posti;"6";;"2022";"1";"6";260.jpg;"2950";"67";;"AUDITORIUM ""S. CHIARA""";Rastr_tradizionale;
"LINESTRING (663763.437158762 5104341.40019966,663767.9474957 5104339.90492491)";"185";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"5";"10";185.jpg;"480";"46";;"SCUOLA SECONDARIA ""A. MANZONI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (663696.484356712 5105366.07215887,663697.268763136 5105364.11114281)";"200";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"12";"24";200.jpg;"3650";"6";;"SCUOLA PRIMARIA ""A. SCHMID""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (663337.127276481 5107783.33660633,663337.213139069 5107781.02906002)";"215";GARDOLO;Archetto;"2";;"2022";"6";"12";215.jpg;"5290";"15";"1";"SCUOLA SECONDARIA ""S. PEDROLLI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (663965.086509353 5104820.92901268,663964.901301019 5104820.29401268)";"253";CENTRO STORICO_PIEDICASTELLO;Archetto;"2";;"2022";"2";"4";253.jpg;"3190";"3";"1";"SCUOLA PRIMARIA ""B. S. BELLESINI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (663741.897043476 5103709.52235437,663742.052470951 5103708.40123776)";"176";CENTRO STORICO_PIEDICASTELLO;Gar 6 posti;"6";;"2022";"1";"6";176.jpg;"1220";"14";;FACOLTA' LETTERE;Rastr_bloccatelaio;SCUOLA
"LINESTRING (664383.8216681 5103164.92927178,664385.008024681 5103165.25654256)";"270";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2022";"5";"10";270.jpg;"2370";"1";;COMMISSIARIATO DEL GOVERNO;Rastr_bloccatelaio;
"LINESTRING (664407.180620088 5103317.35563799,664407.876070497 5103314.90110713)";"273";S. GIUSEPPE_S. CHIARA;Bronzetti 5 posti;"5";;"2022";"1";"5";273.jpg;"4069";;;;Rastr_tradizionale;
"LINESTRING (663090.131483156 5108428.32688308,663091.539147354 5108429.23996256)";"240";GARDOLO;Metallo 4 posti;"4";;"2022";"1";"4";240.jpg;"5101";"40";;;Rastr_tradizionale;
"LINESTRING (663121.715998936 5108366.43706577,663125.151133815 5108368.80953303)";"241";GARDOLO;Metallo 4 posti;"4";;"2022";"3";"12";241.jpg;"5101";"5";;PALAZZO CRIVELLI - UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (663170.425717252 5108245.15703399,663170.77170206 5108241.87017832)";"242";GARDOLO;Metallo 4 posti;"4";;"2022";"2";"8";242.jpg;"5500";"6";;;Rastr_tradizionale;
"LINESTRING (662677.241561982 5108125.89229153,662677.691353649 5108124.56937486)";"243";GARDOLO;Gardolo;"4";;"2022";"1";"4";243.jpg;"5010";"6";;CIMITERO GARDOLO;Rastr_tradizionale;
"LINESTRING (662724.998853699 5108025.66812475,662726.1101037 5108023.65729142)";"244";GARDOLO;Gardolo;"4";;"2022";"1";"4";244.jpg;"5340";"80";;CIMITERO GARDOLO;Rastr_tradizionale;
"LINESTRING (664305.076093048 5103276.90005269,664305.393593048 5103275.25963603)";"259";S. GIUSEPPE_S. CHIARA;Rotonda 6 posti;"6";;"2022";"1";"6";259.jpg;"2950";"67";;"AUDITORIUM ""S. CHIARA""";Rastr_tradizionale;
"LINESTRING (664229.427570369 5104696.48070749,664231.610105791 5104694.9286823)";"58";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";PIAZZA DI CENTA - nr. posti 8;"2022";"2";"8";58.jpg;"700";"12";;;Rastr_tradizionale;
"LINESTRING (664321.543980797 5104504.47220347,664322.020230798 5104496.90512013)";"59";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";VIA A. MANZONI - nr. posti 12;"2022";"3";"12";59.jpg;"1730";"73";;;Rastr_tradizionale;
"LINESTRING (663705.512305382 5106312.01084874,663706.041472049 5106310.5556404)";"60";CENTRO STORICO_PIEDICASTELLO;Rotonda 6 posti;"6";VIA DEL BRENNERO - nr. posti 6;"2022";"1";"6";60.jpg;"400";"312";;UFFICI COMUNALI TOP CENTER;Rastr_tradizionale;
"LINESTRING (662518.697322431 5107336.58299642,662517.942790315 5107330.73537252)";"65";GARDOLO;Onda;"6";VIA L. CANEPPELE - nr. posti 6;"2022";"1";"6";65.jpg;"5080";"19";;PARCO RONCAFORT;Rastr_tradizionale;
"LINESTRING (664306.134426382 5103271.89942769,664306.451926382 5103270.25901102)";"261";S. GIUSEPPE_S. CHIARA;Rotonda 6 posti;"6";;"2022";"1";"6";261.jpg;"2950";"67";;"AUDITORIUM ""S. CHIARA""";Rastr_tradizionale;
"LINESTRING (664084.777044792 5102525.57635776,664089.787787176 5102526.90103678)";"74";S. GIUSEPPE_S.CHIARA;Metallo 4 posti;"4";;"2022";"2";"8";74.jpg;"4085";;;;Rastr_tradizionale;
"LINESTRING (663899.537484566 5102477.05424269,663902.27560327 5102477.17329133)";"79";S. GIUSEPPE_S. CHIARA;Muredei;"6";;"2022";"1";"6";79.jpg;"4084";;;;Rastr_tradizionale;
"LINESTRING (664089.816893075 5103657.18340424,664092.039134342 5103657.50086728)";"42";ZTL;Rotonda 4 posti;"4";;"2022";"1";"4";42.jpg;"50";"2";;;Rastr_tradizionale;
"LINESTRING (664100.33677646 5103032.43651414,664103.485610301 5103032.87735088)";"81";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";81.jpg;"1060";"21";;;Rastr_tradizionale;
"LINESTRING (663810.482123781 5102774.44028171,663809.927663415 5102770.78084329)";"85";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";85.jpg;"1350";"54";;;Rastr_tradizionale;
"LINESTRING (663812.977195427 5102774.32938963,663812.367289025 5102770.9471814)";"86";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";86.jpg;"1350";"54";;;Rastr_tradizionale;
"LINESTRING (663915.720934577 5102511.93922085,663918.763642914 5102514.98192918)";"87";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";87.jpg;"1810";"4";;;Rastr_tradizionale;
"LINESTRING (663923.970764555 5102863.46838263,663924.747009067 5102860.72380382)";"88";S. GIUSEPPE_S. CHIARA;Rotonda 6 posti;"6";;"2022";"1";"6";88.jpg;"1350";"35";;;Rastr_tradizionale;
"LINESTRING (663895.115843407 5105585.59704878,663897.033689215 5105580.84809726)";"92";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"3";"12";92.jpg;"400";"230";;;Rastr_tradizionale;
"LINESTRING (664085.888287977 5102694.91325264,664086.840677092 5102691.73862226)";"94";S. GIUSEPPE_S. CHIARA;Metallo 3 posti;"3";;"2022";"1";"3";94.jpg;"3510";"50";;;Rastr_tradizionale;
"LINESTRING (664086.800994212 5102678.76232057,664088.348626523 5102679.23851513)";"96";S. GIUSEPPE_ S. CHIARA;Rotonda 3 posti ;"3";;"2022";"1";"3";96.jpg;"3510";"48";;;Rastr_tradizionale;
"LINESTRING (664010.490816409 5102668.50429615,664013.169410794 5102669.49636815)";"97";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"3";"12";97.jpg;"3510";"20";;;Rastr_tradizionale;
"LINESTRING (664113.090902061 5102720.92538033,664115.868703645 5102721.63967216)";"98";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";98.jpg;"3510";"39";;;Rastr_tradizionale;
"LINESTRING (664311.966593983 5104342.40199893,664312.115412337 5104344.41104672)";"109";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"1";"5";109.jpg;"1730";"16";;;Rastr_tradizionale;
"LINESTRING (664312.933913289 5104349.24764326,664313.231549999 5104351.77755529)";"110";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"1";"5";110.jpg;"1730";"16";;;Rastr_tradizionale;
"LINESTRING (664313.858877377 5104429.16766495,664314.09240617 5104427.2983053)";"111";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";111.jpg;"1730";"13";;;Rastr_tradizionale;
"LINESTRING (664335.649583203 5104548.8160419,664335.728958203 5104548.20750023)";"112";CENTRO STORICO_PIEDICASTELLO;Rotonda 6 posti;"6";;"2022";"1";"6";112.jpg;"3050";"28";;;Rastr_tradizionale;
"LINESTRING (664336.125833204 5104547.0697919,664336.205208204 5104546.43479189)";"113";CENTRO STORICO_PIEDICASTELLO;Rotonda 6 posti;"6";;"2022";"1";"6";113.jpg;"3050";"28";;;Rastr_tradizionale;
"LINESTRING (664376.633541578 5104538.07395855,664377.586041579 5104542.20145856)";"114";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"3";"15";114.jpg;"3640";"12";;;Rastr_tradizionale;
"LINESTRING (664378.06229158 5104545.48229189,664380.813958249 5104545.85270856)";"115";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"2";"10";115.jpg;"3640";"12";;;Rastr_tradizionale;
"LINESTRING (664320.197916521 5104298.28208331,664320.197916521 5104297.48833331)";"116";CENTRO STORICO_PIEDICASTELLO;Rotonda 6 posti;"6";;"2022";"1";"6";116.jpg;"1730";"49";;;Rastr_tradizionale;
"LINESTRING (664313.02770818 5104744.2372921,664312.842499847 5104742.86145877)";"117";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";117.jpg;"1660";"53";;;Rastr_tradizionale;
"LINESTRING (664553.411886635 5104028.02643103,664555.029724885 5104029.49719307)";"123";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";123.jpg;"740";"11";;;Rastr_tradizionale;
"LINESTRING (664557.137817149 5104032.87994577,664558.314426785 5104035.67439366)";"124";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"3";"12";124.jpg;"740";"11";;;Rastr_tradizionale;
"LINESTRING (664564.594091392 5103987.73116701,664568.1239203 5103991.70222453)";"126";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"4";"16";126.jpg;"3400";;;;Rastr_tradizionale;
"LINESTRING (664412.95852457 5103517.11182536,664415.507845448 5103516.22936814)";"135";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"2";"8";135.jpg;"210";"2";;;Rastr_tradizionale;
"LINESTRING (664511.802926246 5103589.72457315,664509.253605368 5103590.70508118)";"144";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";144.jpg;"2450";"1";;;Rastr_tradizionale;
"LINESTRING (664507.537716316 5103591.1463098,664504.203989014 5103592.37194484)";"145";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"2";"8";145.jpg;"2450";"1";;;Rastr_tradizionale;
"LINESTRING (664456.12592508 5103609.0256199,664454.893092879 5103609.447746)";"146";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";146.jpg;"2450";"1";;;Rastr_tradizionale;
"LINESTRING (664451.685527663 5103610.60939419,664447.812520945 5103612.08015624)";"147";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"3";"12";147.jpg;"2450";"1";;;Rastr_tradizionale;
"LINESTRING (664445.076290724 5103613.04227974,664443.458452475 5103613.61832821)";"148";S. GIUSEPPE-S. CHIARA;Metallo 4 posti;"4";;"2022";"2";"8";148.jpg;"2450";"1";;;Rastr_tradizionale;
"LINESTRING (664590.825748625 5103764.72021091,664586.395071275 5103767.2828539)";"149";S. GIUSPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"3";"12";149.jpg;"1400";"1";;;Rastr_tradizionale;
"LINESTRING (664585.889500167 5103757.37306174,664581.795879142 5103759.94689532)";"150";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"3";"12";150.jpg;"1400";"1";;;Rastr_tradizionale;
"LINESTRING (663946.207556656 5105779.91697333,663946.930369654 5105779.94028987)";"154";CENTRO STORICO_PIEDICASTELLO;Rotonda 5 posti;"5";;"2022";"1";"5";154.jpg;"2495";"60";;;Rastr_tradizionale;
"LINESTRING (663378.698800195 5102978.25881621,663378.605534001 5102973.96857132)";"168";S. GIUSEPPE_S. CHIARA;Michelin;"9";;"2022";"1";"9";168.jpg;"4067";;;;Rastr_tradizionale;
"LINESTRING (663376.460411554 5102843.39590062,663376.367145361 5102840.31811624)";"169";S. GIUSEPPE_S. CHIARA;Michelin;"9";;"2022";"1";"9";169.jpg;"4067";;;;Rastr_tradizionale;
"LINESTRING (664300.41445089 5103105.10010072,664301.403360196 5103103.47167098)";"263";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";263.jpg;"3350";"15";;;Rastr_tradizionale;
"LINESTRING (663340.139308594 5107757.97960575,663350.287566503 5107758.71498676)";"216";GARDOLO;Pedrolli;"18";;"2022";"1";"18";216.jpg;"5290";"15";"1";"SCUOLA SECONDARIA ""S. PEDROLLI""";Rastr_tradizionale;SCUOLA
"LINESTRING (663219.582784613 5107863.13908987,663222.671384846 5107866.63214966)";"222";GARDOLO;Rotonda 6 posti;"6";;"2022";"2";"12";222.jpg;"5290";"42";"1";SCUOLA PRIMARIA PIGARELLI;Rastr_tradizionale;SCUOLA
"LINESTRING (663747.290949188 5103713.83982352,663747.315461889 5103713.0309044)";"119";S. GIUSEPPE_S. CHIARA;Metallo 4 posti;"4";;"2022";"1";"4";119.jpg;"1220";"29";;;Rastr_tradizionale;
"LINESTRING (663873.560466869 5104834.26481724,663874.393898695 5104834.70604585)";"194";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"1";"5";195.jpg;"100";"28";;;Rastr_tradizionale;
"LINESTRING (663811.025150483 5104906.23997156,663811.252598349 5104907.18423703)";"195";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";195.jpg;"1970";"3";;;Rastr_tradizionale;
"LINESTRING (663827.951523041 5104907.10430751,663828.319213552 5104906.60179714)";"196";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";196.jpg;"100";"18";"1";;Rastr_tradizionale;
"LINESTRING (663767.209050589 5105010.54790466,663768.483711028 5105009.27324422)";"197";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"1";"5";197.jpg;"2070";"3";;;Rastr_tradizionale;
"LINESTRING (663754.903674814 5105007.45930437,663755.639055837 5105009.12616802)";"198";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"1";"5";198.jpg;"2070";"3";;;Rastr_tradizionale;
"LINESTRING (663107.542208558 5106285.93576711,663111.464240677 5106271.81645148)";"199";CENTRO STORICO_PIEDICASTELLO;Maccani;"10";;"2022";"3";"30";199.jpg;"1570";"146";;UFFICI COMUNALI;Rastr_tradizionale;
"LINESTRING (663176.64649204 5104110.01563912,663175.911111032 5104108.83902951)";"203";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"2";"8";203.jpg;"960";"5";;;Rastr_tradizionale;
"LINESTRING (663449.607665816 5104145.52841363,663449.239975312 5104146.55794704)";"206";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";206.jpg;"2400";"4";;MUSEO GALLERIE PIEDICASTELLO;Rastr_tradizionale;
"LINESTRING (663449.230783049 5104146.70502323,663449.010168747 5104147.40363519)";"207";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";207.jpg;"2400";"4";;MUSEO GALLERIE PIEDICASTELLO;Rastr_tradizionale;
"LINESTRING (663448.973399697 5104147.44040424,663448.734400869 5104148.2860924)";"208";CENTRO STORICO_PIEDICASTELLO;Metallo 5 posti;"5";;"2022";"1";"5";208.jpg;"2400";"4";;MUSEO GALLERIE PIEDICASTELLO;Rastr_tradizionale;
"LINESTRING (663448.716016344 5104148.32286145,663448.477017516 5104149.15016508)";"209";CENTRO STORICO_PIEDICASTELLO;Metallo 4 posti;"4";;"2022";"1";"4";209.jpg;"2400";"4";;MUSEO GALLERIE PIEDICASTELLO;Rastr_tradizionale;
"LINESTRING (663317.340043299 5107109.62115771,663317.400104976 5107108.66634275)";"214";GARDOLO;Metallo 4 posti;"4";;"2022";"1";"4";214.jpg;"5290";"103";;;Rastr_tradizionale;
"LINESTRING (664822.63658861 5102503.73444012,664825.176588613 5102504.58110679)";"228";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"1";"4";228.jpg;"1160";"48";;;Rastr_tradizionale;
"LINESTRING (664806.708671928 5102498.17819011,664809.248671931 5102499.02485678)";"229";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"1";"4";229.jpg;"1160";"4";;;Rastr_tradizionale;
"LINESTRING (663311.749125206 5107791.38482453,663317.59641688 5107792.04628286)";"459";GARDOLO;Archetto;"2";;"2024";"6";"12";459.JPG;"5290";;;"SCUOLA SECONDARIA ""PEDROLLI""";Rastr_bloccatelaio;SCUOLA
"LINESTRING (664959.767708322 5102662.14729165,664961.672708324 5102662.25312498)";"248";OLTREFERSINA;Metallo 4 posti;"4";;"2022";"1";"4";248.jpg;"1850";"9";;"OSPEDALE ""S. CHIARA""";Rastr_tradizionale;
"LINESTRING (664260.282134666 5103276.76776103,664260.917134667 5103272.48151103)";"254";S. GIUSEPPE_S. CHIARA;Metallo 5 posti;"5";;"2022";"3";"15";254.jpg;"3350";"79";;;Rastr_tradizionale;
