WKT;id;zona;tipologia;n_posti;fumetto;anno;nr_moduli;tot_bici;foto;codice_via;civico;barra;edificio;Tipo_generale;categoria
"LINESTRING (663575.766196061 5102818.10304158,663576.148503057 5102814.21625379)";"155";S. GIUSEPPE_S. CHIARA;Arco;"10";;"2023";"1";"10";155.JPG;"3842";"7";;;Rastr_tradizionale;
"LINESTRING (663576.626386801 5102808.83209694,663577.008693796 5102806.06037122)";"159";S. GIUSEPPE_S. CHIARA;Arco;"10";;"2023";"1";"10";159.JPG;"3842";"7";;;Rastr_tradizionale;
"LINESTRING (663577.741448871 5102801.28153378,663577.996320201 5102799.11512747)";"122";S. GIUSEPPE_S. CHIARA;Con gancio 5 posti;"5";;"2023";"1";"5";122.JPG;"3842";"7";;;Rastr_tradizionale;
"LINESTRING (663100.009832731 5107947.81821293,663101.995361452 5107946.86221762)";"223";GARDOLO;Androna;"5";;"2022";"1";"5";223.jpg;"5400";;;;Rastr_tradizionale;
"LINESTRING (664058.386937185 5103939.82629487,664069.460536052 5103939.82629487)";"6";ZTL;Verona 90;"6";VIA R. BELENZANI - nr. posti 12;"2022";"2";"12";6.jpg;"240";"3";;UFFICI COMUNALI PALAZZO THUN;Rastr_bloccatelaio;
"LINESTRING (664292.477441488 5103932.60700735,664294.490137932 5103932.97295215)";"17";ZTL;Metallo 4 posti;"4";VIA SAN PIETRO - nr. posti 4;"2022";"1";"4";17.jpg;"2860";"45";;;Rastr_tradizionale;
"LINESTRING (663125.012786999 5107813.94210044,663124.865710798 5107814.72344276)";"224";GARDOLO;Androna;"5";;"2022";"1";"5";224.jpg;"5904";;;;Rastr_tradizionale;
"LINESTRING (664066.784114484 5103981.42968748,664047.337239464 5103977.99010414)";"3";ZTL;Metallo 4 posti;"4";VIA G. MANCI - nr. posti 44;"2022";"11";"44";3.jpg;"1700";"2";;;Rastr_tradizionale;
"LINESTRING (664198.535416674 5104623.11374995,664198.535416674 5104620.83833329)";"488";CENTRO STORICO-PIEDICASTELLO;Archetto;"2";;"2024";"3";"6";488.JPG;"4056";;;;Rastr_bloccatelaio;
"LINESTRING (664460.474562963 5104078.80238519,664463.311155556 5104078.51872593)";"14";ZTL;Metallo 4 posti;"4";VIA SAN MARCO - nr. posti 4;"2022";"1";"4";14.jpg;"2800";"74";;;Rastr_tradizionale;
"LINESTRING (663397.103759916 5107961.75368303,663397.103759916 5107962.89352359)";"221";GARDOLO;Arco;"10";;"2022";"1";"10";221.jpg;"5610";"18";;CENTRO SPORTIVO TN NORD;Rastr_tradizionale;
"LINESTRING (663397.103759916 5107962.96706169,663397.103759916 5107964.10690226)";"220";GARDOLO;Arco;"10";;"2022";"1";"10";220.jpg;"5610";"18";;CENTRO SPORTIVO TN NORD;Rastr_tradizionale;
"LINESTRING (665278.896072303 5103705.77209658,665277.175690824 5103704.30658643)";"339";OLTREFRSINA;Metallo 3 posti;"3";;"2023";"2";"6";339.JPG;"1690";;;;Rastr_tradizionale;
"LINESTRING (663124.847326272 5107814.8613267,663124.700250071 5107815.64266902)";"225";GARDOLO;Androna;"5";;"2022";"1";"5";225.jpg;"5904";;;;Rastr_tradizionale;
"LINESTRING (663116.663914496 5104542.83638766,663118.183701913 5104542.78736226)";"202";CENTRO STORICO_PIEDICASTELLO;4 posti doppia;"8";;"2022";"1";"8";202.jpg;"1010";;;"PIAZZALE ""ZUFFO""";Rastr_tradizionale;
"LINESTRING (663520.346831358 5102953.98628939,663520.346831358 5102953.32176776)";"167";S. GIUSEPPE_S. CHIARA;Con gancio 5 posti;"5";;"2022";"1";"5";167.jpg;"4067";;;;Rastr_bloccatelaio;
"LINESTRING (663474.697460527 5102834.31186435,663476.781040091 5102834.48345326)";"170";S. GIUSEPPE_S. CHIARA;Con gancio doppia;"5";;"2022";"1";"5";170.jpg;"3844";"1";;;Rastr_bloccatelaio;
"LINESTRING (663850.748985185 5103966.96972222,663848.76337037 5103977.03962593)";"41";ZTL;Metallo 4 posti;"4";PIAZZA DELLA PORTELLA - nr. posti 12;"2022";"3";"12";41.jpg;"2480";"86";;;Rastr_tradizionale;
"LINESTRING (664002.159635253 5103970.42054033,664015.587239432 5103973.15732419)";"1";ZTL;Metallo 4 posti;"4";VIA ROMA - nr. posti 36;"2022";"9";"36";1.jpg;"2640";"78";;BIBLIOTECA;Rastr_tradizionale;
"LINESTRING (664085.776236899 5103985.00156248,664072.191536364 5103982.35572914)";"4";ZTL;Metallo 4 posti;"4";VIA G. MANCI - nr. posti 32;"2022";"8";"32";4.jpg;"1700";"2";;;Rastr_tradizionale;
"LINESTRING (664231.916114815 5103962.99849259,664227.022992592 5103962.85666296)";"9";ZTL;Metallo 4 posti;"4";PIAZZA C. BATTISTI - nr. posti 8;"2022";"2";"8";9.jpg;"230";"8";;;Rastr_tradizionale;
"LINESTRING (663491.610868692 5102566.44946183,663493.267532339 5102566.66185461)";"174";S. GIUSEPPE_S. CHIARA;Archetto;"2";;"2023";"5";"10";174.JPG;"1930";"1";;"PIAZZALE ""MONTE BALDO""";Rastr_bloccatelaio;
"LINESTRING (663959.106822222 5103864.07232593,663962.227074073 5103864.85238889,663963.154450662 5103865.14099242,663963.154450662 5103865.14099242)";"39";ZTL;Metallo 4 posti;"4";VICOLO COLICO - nr. posti 8;"2022";"2";"8";39.jpg;"820";"2";;;Rastr_tradizionale;
"LINESTRING (664123.430546623 5103496.19920527,664119.362577869 5103496.99295527)";"34";ZTL;Metallo 4 posti;"4";VIA AL TORRIONE - nr. posti 12;"2022";"3";"12";34.jpg;"3320";"6";;;Rastr_tradizionale;
