trip_id;route_id;service_id;trip_headsign;direction_id;wheelchair_accessible;bike_slots
0003244302024090920250627;332;42024090920250627;Vermiglio. Nord;0;0;0
0003204742024090920250627;78;62024090920250627;Ranzo;1;0;0
0003205282024090920250627;78;42024090920250627;Margone;0;0;0
0003264782024102120250627;366;62024102120250627;Mezzocorona-Staz.Fs;1;0;0
0003198342024090920250627;136;62024090920250627;Cavalese. Autostazione;0;0;0
0003209422024090920250627;71;72024090920250627;Ponte Arche Autostazione;1;0;0
0003232962024090920250627;169;22024090920250627;Samone;0;0;0
0003194922024090920250627;3;52024090920250627;Cavalese. Autostazione;0;0;0
0003201942024090920250627;171;52024090920250627;Tiarno di Sopra;0;0;0
0003220512024090920250627;233;42024090920250627;Crosano. Bivio;0;0;0
0003207662024090920250627;157;52024090920250627;Storo;1;0;0
0003192302024090920250627;604;42024090920250627;Cavalese. Autostazione;1;0;0
0003265252024102120250627;55;92024102120250627;Trento. Autostazione;1;0;0
0003234152024090920250627;520;42024090920250627;Trento. Autostazione;1;0;0
0003249102024090920250627;375;822024090920250627;Fondo. Via Garibaldi;0;0;0
0003205972024090920250627;175;72024090920250627;Vezzano. Apt;1;0;0
0003210252024090920250627;71;22024090920250627;Tione. Autostazione;0;0;0
0003230532024090920250627;188;62024090920250627;Pergine V. Intermodale;1;0;0
0003218092024090920250627;186;4512024090920250627;Centa;0;0;0
0003233242024090920250627;177;52024090920250627;Maso Tingherla;0;0;0
0003209772024090920250627;161;4512024090920250627;Ponte Arche Autostazione;1;0;0
0003260772024090920250627;638;12024090920250627;Ora-Staz. Fs;1;0;0
0003208002024090920250627;134;92024090920250627;Due Laghi. Hotel Miralaghi;1;0;0
0003209812024090920250627;672;52024090920250627;Albola;1;0;0
0003234852024090920250627;551;22024090920250627;Pergine V. Intermodale;1;0;0
0003236612024090920250627;102;62024090920250627;S.Martino di Castrozza;1;0;0
0003264712024102120250627;366;822024102120250627;Cles. Autostazione;0;0;0
0003220442024090920250627;634;92024090920250627;Riva Del G.Autostazione;0;0;0
0003217482024090920250627;634;22024090920250627;Rovereto. Via Paoli;1;0;0
0003243102024090920250627;366;22024090920250627;Mezzolombardo;1;0;0
0003195542024090920250627;1;12024090920250627;Cavalese. Autostazione;1;0;0
0003192402024090920250627;117;22024090920250627;Cavalese. Autostazione;0;0;0
0003210382024090920250627;157;22024090920250627;Vestone;0;0;0
0003197332024090920250627;343;822024090920250627;Faedo. Pineta;0;0;0
0003215072024090920250627;215;822024090920250627;Piano di Vallarsa;0;0;0
0003260982024090920250627;638;4512024090920250627;Ora-Staz. Fs;1;0;0
0003238522024090920250627;116;92024090920250627;Ronco Chiesa;0;0;0
0003245982024090920250627;330;52024090920250627;Male';1;0;0
