id;type;capacity;latitude;longitude
227;bloccatelaio;6;46.0555944;11.1323062
181;tradizionale;8;46.0739577;11.1184931
424;tradizionale;4;46.0660143;11.1545566
425;tradizionale;6;46.0648604;11.1539931
426;tradizionale;6;46.0648620;11.1539462
183;tradizionale;6;46.0734087;11.1180658
205;bloccatelaio;6;46.0708466;11.1136672
184;tradizionale;8;46.0730679;11.1178668
219;tradizionale;5;46.1047289;11.1136980
218;tradizionale;5;46.1047380;11.1136812
108;bloccatelaio;6;46.0728463;11.1232835
118;bloccatelaio;14;46.0821233;11.1224369
121;bloccatelaio;8;46.0929164;11.1184384
427;tradizionale;6;46.0648640;11.1539024
186;tradizionale;8;46.0723824;11.1176322
190;tradizionale;4;46.0772072;11.1200304
189;tradizionale;4;46.0771327;11.1199976
193;tradizionale;5;46.0769552;11.1191943
210;bloccatelaio;6;46.0706269;11.1133745
428;tradizionale;10;46.0722044;11.1621797
204;bloccatelaio;6;46.0709447;11.1132557
429;tradizionale;10;46.0621544;11.1522047
430;tradizionale;5;46.0618105;11.1521356
434;tradizionale;5;46.0373571;11.1106054
236;tradizionale;5;46.1085392;11.1119745
239;tradizionale;5;46.1087187;11.1115839
237;tradizionale;5;46.1087125;11.1115616
231;bloccatelaio;6;46.0561145;11.1301605
233;tradizionale;12;46.0603444;11.1309576
230;tradizionale;4;46.0561682;11.1304229
232;tradizionale;4;46.0619801;11.1330175
245;tradizionale;6;46.0988465;11.1096801
235;tradizionale;8;46.1077415;11.1124664
234;tradizionale;3;46.1075197;11.1120532
489;tradizionale;10;46.0625237;11.1523375
249;bloccatelaio;20;46.1050875;11.1141549
250;bloccatelaio;10;46.0552598;11.1300413
251;bloccatelaio;10;46.0552291;11.1299658
252;bloccatelaio;40;46.0405813;11.1234692
238;tradizionale;5;46.1087143;11.1115734
257;tradizionale;6;46.0634623;11.1242399
187;tradizionale;4;46.0713549;11.1170182
188;tradizionale;4;46.0713662;11.1170513
258;tradizionale;9;46.0634281;11.1243333
213;bloccatelaio;8;46.0692973;11.1135521
217;tradizionale;6;46.1047875;11.1136752
